location,zip,Unique Neighborhoods,Unique Zip Code,date,time,offenseCatagory,crimeSeverity,uniqueOffenses,severityIndex,offenseType,count,matchingZips
Madison South,97220,NULL,0,1/3/20,1732,Assault Offenses,10,Sex Offenses,15,Aggravated Assault,1,97201
Hosford-Abernethy,97202,Alameda,97212,1/3/20,1600,Assault Offenses,10,Fraud Offenses,1,Intimidation,1,97202
Hosford-Abernethy,97202,Arbor Lodge,97217,1/3/20,1600,Vandalism,4,Assault Offenses,10,Vandalism,1,97203
Hosford-Abernethy,97202,Ardenwald,97222,1/4/20,6,Assault Offenses,10,Larceny Offenses,5,Intimidation,1,97204
Hosford-Abernethy,97202,Argay,97230,1/4/20,6,Vandalism,4,Embezzlement,2,Vandalism,1,97205
Eliot,97212,Arlington Heights,97201,1/4/20,1320,Vandalism,4,"Sex Offenses, Nonforcible",5,Vandalism,1,97206
Centennial,97233,Arnold Creek,97219,1/4/20,513,Vandalism,4,Vandalism,4,Vandalism,1,97209
Hayden Island,97217,Ashcreek,97219,12/30/19,800,Assault Offenses,10,Drug/Narcotic Offenses,4,Simple Assault,1,97210
University Park,97203,Beaumont-Wilshire,97212,1/4/20,139,Assault Offenses,10,Burglary,10,Aggravated Assault,1,97211
Glenfair,97230,Boise,97227,1/4/20,2155,Assault Offenses,10,Motor Vehicle Theft,10,Simple Assault,1,97212
Wilkes,97230,Brentwood-Darlington,97206,1/1/20,359,Assault Offenses,10,Stolen Property Offenses,7,Aggravated Assault,1,97213
Buckman West,97214,Bridgeton,97217,1/3/20,736,Assault Offenses,10,Counterfeiting/Forgery,1,Simple Assault,1,97214
Powellhurst-Gilbert,97236,Bridlemile,97221,1/1/20,400,Assault Offenses,10,Prostitution Offenses,3,Simple Assault,1,97215
Humboldt,97217,Brooklyn,97202,11/27/19,1100,Assault Offenses,10,Kidnapping/Abduction,18,Simple Assault,1,97216
Old Town/Chinatown,97209,Buckman East,97214,1/5/20,756,Assault Offenses,10,Robbery,8,Aggravated Assault,1,97217
King,97211,Buckman West,97214,1/5/20,1350,Assault Offenses,10,Animal Cruelty Offenses,3,Simple Assault,1,97218
Madison South,97220,Cathedral Park,97203,1/4/20,2039,Assault Offenses,10,Weapon Law Violations,6,Simple Assault,1,97219
Mill Park,97216,Centennial,97233,1/5/20,2026,Assault Offenses,10,Arson,10,Simple Assault,1,97220
Hillsdale,97201,Collins View,97219,1/5/20,2145,Assault Offenses,10,Homicide Offenses,20,Aggravated Assault,1,97221
Hollywood,97212,Concordia,97211,1/5/20,2330,Assault Offenses,10,Extortion/Blackmail,5,Aggravated Assault,1,97227
Kerns,97232,Creston-Kenilworth,97202,1/1/20,1010,Vandalism,4,Pornography/Obscene Material,1,Vandalism,1,97230
Homestead,97239,Crestwood,97219,1/5/20,2128,Assault Offenses,10,Bribery,3,Aggravated Assault,1,97232
Irvington,97212,Cully,97218,1/6/20,130,Assault Offenses,10,Human Trafficking Offenses,15,Simple Assault,1,97233
Arbor Lodge,97217,Downtown,97205,1/6/20,855,Vandalism,4,,,Vandalism,1,97236
Hazelwood,97216,East Columbia,97211,1/4/20,1625,Sex Offenses,15,,,Sodomy,1,97239
Brentwood-Darlington,97206,Eastmoreland,97202,1/6/20,1328,Assault Offenses,10,,,Aggravated Assault,1,97266
Brentwood-Darlington,97206,Eliot,97212,1/4/20,2020,Assault Offenses,10,,,Simple Assault,1,
Woodstock,97206,Far Southwest,97219,1/5/20,2220,Assault Offenses,10,,,Aggravated Assault,1,
Parkrose,97220,Forest Park,97229,1/6/20,2144,Assault Offenses,10,,,Simple Assault,1,
Pearl,97209,Foster-Powell,97206,1/6/20,2203,Drug/Narcotic Offenses,4,,,Drug/Narcotic Violations,1,
Hazelwood,97216,Glenfair,97230,1/7/20,309,Assault Offenses,10,,,Simple Assault,1,
Powellhurst-Gilbert,97236,Goose Hollow,97204,1/7/20,34,Vandalism,4,,,Vandalism,1,
Northwest,97210,Grant Park,97212,12/26/19,1630,Assault Offenses,10,,,Simple Assault,1,
Northwest,97210,Hayden Island,97217,12/26/19,1630,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Eliot,97212,Hayhurst,97221,1/7/20,10,Assault Offenses,10,,,Simple Assault,1,
Hazelwood,97216,Hazelwood,97216,1/4/20,1625,Sex Offenses,15,,,Sodomy,1,
Centennial,97233,Healy Heights,97239,12/27/19,1100,Sex Offenses,15,,,Fondling,1,
East Columbia,97211,Hillsdale,97201,1/7/20,1150,Assault Offenses,10,,,Simple Assault,1,
King,97211,Hillside,97210,1/5/20,1320,Assault Offenses,10,,,Simple Assault,1,
Wilkes,97230,Hollywood,97212,1/7/20,1340,Assault Offenses,10,,,Simple Assault,1,
Boise,97227,Homestead,97239,1/7/20,1511,Assault Offenses,10,,,Simple Assault,1,
Hazelwood,97216,Hosford-Abernethy,97202,1/7/20,1657,Assault Offenses,10,,,Simple Assault,1,
Woodstock,97206,Humboldt,97217,1/7/20,1919,Assault Offenses,10,,,Simple Assault,1,
Northwest,97210,Irvington,97212,1/7/20,1945,Assault Offenses,10,,,Aggravated Assault,1,
Northwest,97210,Kenton,97217,1/7/20,1945,Kidnapping/Abduction,18,,,Kidnapping/Abduction,1,
Powellhurst-Gilbert,97236,Kerns,97232,1/7/20,2300,Assault Offenses,10,,,Simple Assault,1,
Old Town/Chinatown,97209,King,97211,1/7/20,2321,Kidnapping/Abduction,18,,,Kidnapping/Abduction,1,
Old Town/Chinatown,97209,Laurelhurst,97232,1/7/20,2321,Sex Offenses,15,,,Rape,1,
Old Town/Chinatown,97209,Lents,97266,1/7/20,2321,Drug/Narcotic Offenses,4,,,Drug/Narcotic Violations,1,
Hazelwood,97216,Linnton,97210,1/7/20,2152,Assault Offenses,10,,,Simple Assault,1,
Concordia,97211,Lloyd,97232,12/31/19,430,Sex Offenses,15,,,Rape,1,
Hazelwood,97216,Madison South,97220,1/8/20,909,Assault Offenses,10,,,Simple Assault,1,
Powellhurst-Gilbert,97236,Maplewood,97219,1/8/20,1402,Assault Offenses,10,,,Simple Assault,1,
Cully,97218,Markham,97219,1/8/20,1952,Vandalism,4,,,Vandalism,1,
Centennial,97233,Marshall Park,97219,1/9/20,55,Assault Offenses,10,,,Simple Assault,1,
Centennial,97233,Mill Park,97216,1/5/20,1701,Assault Offenses,10,,,Simple Assault,1,
Lents,97266,Montavilla,97213,1/9/20,805,Assault Offenses,10,,,Intimidation,1,
Mt Scott-Arleta,97206,Mt Scott-Arleta,97206,1/9/20,743,Assault Offenses,10,,,Aggravated Assault,1,
Brentwood-Darlington,97206,Mt Tabor,97215,1/8/20,2034,Assault Offenses,10,,,Simple Assault,1,
Powellhurst-Gilbert,97236,Multnomah,97219,12/24/19,1530,Assault Offenses,10,,,Simple Assault,1,
East Columbia,97211,North Tabor,97213,1/2/20,1930,Counterfeiting/Forgery,1,,,Counterfeiting/Forgery,1,
Powellhurst-Gilbert,97236,Northwest,97210,1/10/20,1,Assault Offenses,10,,,Simple Assault,1,
Sunnyside,97214,Northwest Heights,97229,1/3/20,300,Sex Offenses,15,,,Rape,1,
Mill Park,97216,Northwest Industrial,97296,1/9/20,1823,Assault Offenses,10,,,Aggravated Assault,1,
Mt Tabor,97215,Old Town/Chinatown,97209,1/5/20,1310,Sex Offenses,15,,,Fondling,1,
South Tabor,97206,Overlook,97227,1/8/20,1115,Assault Offenses,10,,,Intimidation,1,
Powellhurst-Gilbert,97236,Parkrose,97220,1/6/20,1800,Weapon Law Violations,6,,,Weapons Law Violations,1,
Hazelwood,97216,Parkrose Heights,97220,1/2/20,1806,Assault Offenses,10,,,Simple Assault,1,
East Columbia,97211,Pearl,97209,1/9/20,2038,Assault Offenses,10,,,Simple Assault,1,
Parkrose,97220,Piedmont,97217,1/9/20,800,Assault Offenses,10,,,Intimidation,1,
Hazelwood,97216,Pleasant Valley,97236,1/9/20,2313,Assault Offenses,10,,,Aggravated Assault,1,
Hazelwood,97216,Portsmouth,97203,1/10/20,503,Assault Offenses,10,,,Simple Assault,1,
Centennial,97233,Powellhurst-Gilbert,97236,1/9/20,1317,Assault Offenses,10,,,Simple Assault,1,
Hosford-Abernethy,97202,Reed,97202,1/10/20,822,Assault Offenses,10,,,Simple Assault,1,
Lents,97266,Richmond,97214,1/2/20,1115,Larceny Offenses,5,,,All Other Larceny,1,
Brentwood-Darlington,97206,Rose City Park,97213,12/30/19,1200,Larceny Offenses,5,,,All Other Larceny,1,
Concordia,97211,Roseway,97213,1/10/20,1815,Assault Offenses,10,,,Aggravated Assault,1,
Lents,97266,Russell,97230,1/2/20,2157,Larceny Offenses,5,,,All Other Larceny,1,
Centennial,97233,Sabin,97211,11/15/19,1400,Sex Offenses,15,,,Fondling,1,
Portsmouth,97203,Sellwood-Moreland,97202,1/11/20,103,Assault Offenses,10,,,Aggravated Assault,1,
Powellhurst-Gilbert,97236,South Burlingame,97219,1/11/20,25,Assault Offenses,10,,,Simple Assault,1,
King,97211,South Portland,97222,1/5/20,1445,Assault Offenses,10,,,Aggravated Assault,1,
Downtown,97205,South Tabor,97206,1/4/20,1145,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Hollywood,97212,Southwest Hills,97201,10/1/19,500,Sex Offenses,15,,,Fondling,1,
Hollywood,97212,St Johns,97203,10/1/19,500,Larceny Offenses,5,,,Theft From Building,1,
Lents,97266,Sullivan's Gulch,97232,1/2/20,2145,Larceny Offenses,5,,,All Other Larceny,1,
North Tabor,97213,Sumner,97220,1/10/20,2300,Vandalism,4,,,Vandalism,1,
Hillsdale,97201,Sunderland,97218,1/9/20,1900,Assault Offenses,10,,,Aggravated Assault,1,
Hillsdale,97201,Sunnyside,97214,1/9/20,1900,Burglary,10,,,Burglary,1,
Downtown,97205,Sylvan-Highlands,97221,1/4/20,1718,Sex Offenses,15,,,Fondling,1,
Centennial,97233,University Park,97203,1/11/20,1344,Assault Offenses,10,,,Simple Assault,1,
Powellhurst-Gilbert,97236,Vernon,97211,1/11/20,1810,Assault Offenses,10,,,Simple Assault,1,
Concordia,97211,West Portland Park,97219,1/11/20,2342,Assault Offenses,10,,,Aggravated Assault,1,
Powellhurst-Gilbert,97236,Wilkes,97230,1/11/20,1724,Assault Offenses,10,,,Simple Assault,1,
Centennial,97233,Woodland Park,97220,1/11/20,2229,Assault Offenses,10,,,Simple Assault,1,
Centennial,97233,Woodlawn,97211,1/11/20,2243,Assault Offenses,10,,,Simple Assault,1,
South Portland,97222,Woodstock,97206,1/12/20,156,Assault Offenses,10,,,Simple Assault,1,
Northwest,97210,,,1/12/20,242,Assault Offenses,10,,,Simple Assault,1,
Cully,97218,,,1/10/20,1915,Assault Offenses,10,,,Simple Assault,1,
Powellhurst-Gilbert,97236,,,1/10/20,2145,Assault Offenses,10,,,Simple Assault,1,
Centennial,97233,,,12/16/19,700,Assault Offenses,10,,,Simple Assault,1,
Glenfair,97230,,,1/6/20,1,Assault Offenses,10,,,Simple Assault,1,
Old Town/Chinatown,97209,,,1/12/20,1430,Assault Offenses,10,,,Aggravated Assault,1,
Pearl,97209,,,1/12/20,1605,Assault Offenses,10,,,Simple Assault,1,
Powellhurst-Gilbert,97236,,,1/6/20,1545,Assault Offenses,10,,,Aggravated Assault,1,
Centennial,97233,,,1/12/20,1751,Assault Offenses,10,,,Simple Assault,1,
Cully,97218,,,1/7/20,126,Larceny Offenses,5,,,Theft From Building,1,
Arbor Lodge,97217,,,10/26/19,2100,Sex Offenses,15,,,Fondling,1,
Rose City Park,97213,,,1/7/20,422,Sex Offenses,15,,,Rape,1,
South Tabor,97206,,,1/6/20,1655,Robbery,8,,,Robbery,1,
Sunnyside,97214,,,12/15/19,1000,Pornography/Obscene Material,1,,,Pornography/Obscene Material,1,
Vernon,97211,,,1/11/20,2003,Robbery,8,,,Robbery,1,
Ashcreek,97219,,,1/8/20,1633,Larceny Offenses,5,,,All Other Larceny,1,
Centennial,97233,,,1/12/20,1928,Assault Offenses,10,,,Aggravated Assault,1,
Bridlemile,97221,,,1/12/20,2116,Assault Offenses,10,,,Simple Assault,1,
Powellhurst-Gilbert,97236,,,1/12/20,2040,Vandalism,4,,,Vandalism,1,
Montavilla,97213,,,1/12/20,2045,Assault Offenses,10,,,Simple Assault,1,
Kerns,97232,,,1/12/20,2130,Kidnapping/Abduction,18,,,Kidnapping/Abduction,1,
Sunnyside,97214,,,1/6/20,2200,Vandalism,4,,,Vandalism,1,
Montavilla,97213,,,1/7/20,1933,Assault Offenses,10,,,Simple Assault,1,
South Tabor,97206,,,1/7/20,1949,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Lents,97266,,,1/13/20,805,Assault Offenses,10,,,Simple Assault,1,
Brentwood-Darlington,97206,,,1/7/20,2150,Assault Offenses,10,,,Aggravated Assault,1,
Northwest,97210,,,1/7/20,2359,Kidnapping/Abduction,18,,,Kidnapping/Abduction,1,
Northwest,97210,,,1/7/20,2359,Sex Offenses,15,,,Rape,1,
Northwest,97210,,,1/7/20,2359,Sex Offenses,15,,,Sodomy,1,
Lents,97266,,,11/9/19,1621,Larceny Offenses,5,,,All Other Larceny,1,
Lents,97266,,,11/9/19,1621,Vandalism,4,,,Vandalism,1,
Homestead,97239,,,1/12/20,800,Assault Offenses,10,,,Aggravated Assault,1,
Hosford-Abernethy,97202,,,11/28/19,0,Sex Offenses,15,,,Rape,1,
Wilkes,97230,,,1/5/20,1940,Fraud Offenses,1,,,False Pretenses/Swindle/Confidence Game,1,
Centennial,97233,,,1/9/20,0,Assault Offenses,10,,,Simple Assault,1,
Mill Park,97216,,,1/13/20,1703,Assault Offenses,10,,,Simple Assault,1,
St Johns,97203,,,1/13/20,2045,Assault Offenses,10,,,Simple Assault,1,
Mill Park,97216,,,1/7/20,1600,Larceny Offenses,5,,,Theft From Building,1,
Centennial,97233,,,1/13/20,2251,Assault Offenses,10,,,Simple Assault,1,
Centennial,97233,,,12/31/19,0,Sex Offenses,15,,,Rape,1,
Centennial,97233,,,1/14/20,339,Assault Offenses,10,,,Aggravated Assault,1,
University Park,97203,,,12/27/19,0,Assault Offenses,10,,,Aggravated Assault,1,
Powellhurst-Gilbert,97236,,,1/13/20,2239,Assault Offenses,10,,,Aggravated Assault,1,
King,97211,,,1/9/20,1800,Assault Offenses,10,,,Intimidation,1,
King,97211,,,1/9/20,1800,Weapon Law Violations,6,,,Weapons Law Violations,1,
Northwest,97210,,,1/14/20,1020,Assault Offenses,10,,,Aggravated Assault,1,
Downtown,97205,,,1/10/20,1403,Sex Offenses,15,,,Rape,1,
Centennial,97233,,,1/14/20,1210,Assault Offenses,10,,,Simple Assault,1,
Rose City Park,97213,,,1/14/20,1136,Assault Offenses,10,,,Intimidation,1,
Powellhurst-Gilbert,97236,,,1/14/20,2223,Assault Offenses,10,,,Simple Assault,1,
Hazelwood,97216,,,1/14/20,1653,Assault Offenses,10,,,Aggravated Assault,1,
Cully,97218,,,1/13/20,1107,"Sex Offenses, Nonforcible",5,,,Incest,1,
Buckman East,97214,,,1/14/20,1207,Assault Offenses,10,,,Aggravated Assault,1,
Buckman East,97214,,,1/14/20,1207,Larceny Offenses,5,,,Theft From Building,1,
Centennial,97233,,,11/6/19,800,Fraud Offenses,1,,,False Pretenses/Swindle/Confidence Game,1,
Powellhurst-Gilbert,97236,,,11/21/19,130,Assault Offenses,10,,,Simple Assault,1,
Lents,97266,,,1/15/20,1629,Assault Offenses,10,,,Simple Assault,1,
Foster-Powell,97206,,,1/16/20,32,Assault Offenses,10,,,Aggravated Assault,1,
Hazelwood,97216,,,1/3/20,958,Sex Offenses,15,,,Sodomy,1,
Brentwood-Darlington,97206,,,1/15/20,2100,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Centennial,97233,,,1/15/20,2224,Assault Offenses,10,,,Aggravated Assault,1,
Downtown,97205,,,1/16/20,321,Assault Offenses,10,,,Simple Assault,1,
Concordia,97211,,,1/16/20,1100,Assault Offenses,10,,,Simple Assault,1,
Concordia,97211,,,1/16/20,1100,Larceny Offenses,5,,,All Other Larceny,1,
Creston-Kenilworth,97202,,,1/11/20,800,Vandalism,4,,,Vandalism,1,
Hazelwood,97216,,,1/16/20,911,Assault Offenses,10,,,Simple Assault,1,
Old Town/Chinatown,97209,,,1/16/20,1109,Assault Offenses,10,,,Aggravated Assault,1,
Madison South,97220,,,1/11/20,2004,Assault Offenses,10,,,Simple Assault,1,
King,97211,,,1/11/20,2059,Assault Offenses,10,,,Simple Assault,1,
Centennial,97233,,,1/12/20,1756,Assault Offenses,10,,,Simple Assault,1,
Humboldt,97217,,,1/12/20,1939,Assault Offenses,10,,,Simple Assault,1,
Portsmouth,97203,,,1/5/20,2018,Pornography/Obscene Material,1,,,Pornography/Obscene Material,1,
Argay,97230,,,1/13/20,25,Assault Offenses,10,,,Simple Assault,1,
Cully,97218,,,1/16/20,55,Assault Offenses,10,,,Aggravated Assault,1,
Mt Tabor,97215,,,1/16/20,2359,Assault Offenses,10,,,Simple Assault,1,
Hazelwood,97216,,,1/16/20,2251,Assault Offenses,10,,,Simple Assault,1,
Goose Hollow,97204,,,1/17/20,116,Assault Offenses,10,,,Simple Assault,1,
Lents,97266,,,1/16/20,1837,Assault Offenses,10,,,Aggravated Assault,1,
Lents,97266,,,1/16/20,1837,Vandalism,4,,,Vandalism,1,
Hollywood,97212,,,1/16/20,2135,Assault Offenses,10,,,Aggravated Assault,1,
Arbor Lodge,97217,,,1/17/20,309,Assault Offenses,10,,,Aggravated Assault,1,
Cully,97218,,,1/16/20,1400,Burglary,10,,,Burglary,1,
Powellhurst-Gilbert,97236,,,1/15/20,1200,Robbery,8,,,Robbery,1,
Mill Park,97216,,,1/17/20,337,Assault Offenses,10,,,Simple Assault,1,
Foster-Powell,97206,,,1/17/20,756,Assault Offenses,10,,,Simple Assault,1,
Glenfair,97230,,,1/13/20,1000,Assault Offenses,10,,,Simple Assault,1,
Glenfair,97230,,,1/13/20,1000,Larceny Offenses,5,,,Theft From Building,1,
Brentwood-Darlington,97206,,,1/17/20,2306,Assault Offenses,10,,,Aggravated Assault,1,
Wilkes,97230,,,1/17/20,741,Assault Offenses,10,,,Simple Assault,1,
Richmond,97214,,,1/17/20,1945,Assault Offenses,10,,,Simple Assault,1,
Wilkes,97230,,,1/18/20,300,Vandalism,4,,,Vandalism,1,
Powellhurst-Gilbert,97236,,,1/13/20,1759,Assault Offenses,10,,,Simple Assault,1,
Centennial,97233,,,1/18/20,9,Assault Offenses,10,,,Simple Assault,1,
Lents,97266,,,1/18/20,900,Assault Offenses,10,,,Simple Assault,1,
St Johns,97203,,,1/18/20,1528,Assault Offenses,10,,,Simple Assault,1,
Northwest,97210,,,1/18/20,1459,Assault Offenses,10,,,Simple Assault,1,
Hazelwood,97216,,,1/18/20,2117,Assault Offenses,10,,,Simple Assault,1,
Downtown,97205,,,1/18/20,2311,Assault Offenses,10,,,Simple Assault,1,
Lents,97266,,,1/7/20,0,Assault Offenses,10,,,Aggravated Assault,1,
Brentwood-Darlington,97206,,,1/14/20,1516,Assault Offenses,10,,,Simple Assault,1,
Parkrose,97220,,,1/19/20,359,Assault Offenses,10,,,Aggravated Assault,1,
Argay,97230,,,1/18/20,2000,Assault Offenses,10,,,Aggravated Assault,1,
Humboldt,97217,,,1/15/20,2000,Assault Offenses,10,,,Simple Assault,1,
Kenton,97217,,,1/17/20,1419,Assault Offenses,10,,,Simple Assault,1,
Eliot,97212,,,1/18/20,1751,Assault Offenses,10,,,Simple Assault,1,
Eliot,97212,,,1/18/20,1751,Vandalism,4,,,Vandalism,1,
Wilkes,97230,,,1/18/20,2317,Assault Offenses,10,,,Simple Assault,1,
Montavilla,97213,,,1/19/20,20,Assault Offenses,10,,,Simple Assault,1,
Brentwood-Darlington,97206,,,1/19/20,347,Assault Offenses,10,,,Simple Assault,1,
Downtown,97205,,,1/19/20,413,Assault Offenses,10,,,Aggravated Assault,1,
Downtown,97205,,,1/19/20,413,Kidnapping/Abduction,18,,,Kidnapping/Abduction,1,
Downtown,97205,,,1/19/20,413,Vandalism,4,,,Vandalism,1,
Centennial,97233,,,1/19/20,1525,Assault Offenses,10,,,Simple Assault,1,
Overlook,97227,,,1/19/20,1533,Assault Offenses,10,,,Aggravated Assault,1,
St Johns,97203,,,1/13/20,945,Larceny Offenses,5,,,Theft From Building,1,
Hazelwood,97216,,,12/22/19,0,Assault Offenses,10,,,Aggravated Assault,1,
Montavilla,97213,,,1/19/20,1939,Assault Offenses,10,,,Aggravated Assault,1,
Centennial,97233,,,1/20/20,1006,Assault Offenses,10,,,Simple Assault,1,
Powellhurst-Gilbert,97236,,,1/19/20,2026,Assault Offenses,10,,,Aggravated Assault,1,
Powellhurst-Gilbert,97236,,,1/19/20,2026,Weapon Law Violations,6,,,Weapons Law Violations,1,
South Tabor,97206,,,1/19/20,2157,Assault Offenses,10,,,Simple Assault,1,
Sunderland,97218,,,1/20/20,0,Assault Offenses,10,,,Simple Assault,1,
Hollywood,97212,,,1/17/20,1600,Robbery,8,,,Robbery,1,
Downtown,97205,,,1/20/20,1613,Assault Offenses,10,,,Intimidation,1,
Creston-Kenilworth,97202,,,1/21/20,144,Assault Offenses,10,,,Simple Assault,1,
Goose Hollow,97204,,,1/21/20,13,Assault Offenses,10,,,Simple Assault,1,
Hillsdale,97201,,,1/15/20,700,Larceny Offenses,5,,,All Other Larceny,1,
Wilkes,97230,,,1/20/20,1408,Assault Offenses,10,,,Simple Assault,1,
West Portland Park,97219,,,1/20/20,1300,Assault Offenses,10,,,Simple Assault,1,
Lloyd,97232,,,1/20/20,2130,Assault Offenses,10,,,Simple Assault,1,
Pearl,97209,,,1/21/20,1123,Drug/Narcotic Offenses,4,,,Drug/Narcotic Violations,1,
Hazelwood,97216,,,1/5/20,0,Assault Offenses,10,,,Aggravated Assault,1,
Northwest,97210,,,1/21/20,1119,Assault Offenses,10,,,Simple Assault,1,
Hazelwood,97216,,,1/21/20,1600,Assault Offenses,10,,,Aggravated Assault,1,
Hazelwood,97216,,,1/21/20,1600,Weapon Law Violations,6,,,Weapons Law Violations,1,
Hazelwood,97216,,,1/21/20,1523,Robbery,8,,,Robbery,1,
Montavilla,97213,,,1/16/20,1800,Assault Offenses,10,,,Simple Assault,1,
Downtown,97205,,,1/21/20,1924,Assault Offenses,10,,,Simple Assault,1,
East Columbia,97211,,,1/21/20,1957,Assault Offenses,10,,,Simple Assault,1,
South Tabor,97206,,,1/20/20,2100,Kidnapping/Abduction,18,,,Kidnapping/Abduction,1,
South Tabor,97206,,,1/20/20,2100,Sex Offenses,15,,,Rape,1,
Powellhurst-Gilbert,97236,,,1/19/20,1545,Assault Offenses,10,,,Simple Assault,1,
Lents,97266,,,1/21/20,923,Assault Offenses,10,,,Simple Assault,1,
Centennial,97233,,,1/21/20,1720,Larceny Offenses,5,,,Pocket-Picking,1,
Centennial,97233,,,1/21/20,1720,Larceny Offenses,5,,,Purse-Snatching,1,
Centennial,97233,,,1/21/20,621,Assault Offenses,10,,,Simple Assault,1,
Centennial,97233,,,1/21/20,621,Vandalism,4,,,Vandalism,1,
Mill Park,97216,,,1/22/20,700,Assault Offenses,10,,,Simple Assault,1,
Cully,97218,,,1/22/20,847,Assault Offenses,10,,,Intimidation,1,
Kerns,97232,,,1/22/20,700,Assault Offenses,10,,,Simple Assault,1,
Downtown,97205,,,1/22/20,1439,Assault Offenses,10,,,Simple Assault,1,
Brentwood-Darlington,97206,,,1/22/20,1506,Assault Offenses,10,,,Aggravated Assault,1,
Hazelwood,97216,,,1/16/20,2250,Vandalism,4,,,Vandalism,1,
Centennial,97233,,,1/22/20,1457,Assault Offenses,10,,,Intimidation,1,
Portsmouth,97203,,,1/22/20,1940,Assault Offenses,10,,,Simple Assault,1,
Hollywood,97212,,,1/23/20,240,Assault Offenses,10,,,Simple Assault,1,
Lents,97266,,,1/22/20,540,Assault Offenses,10,,,Simple Assault,1,
King,97211,,,1/23/20,922,Assault Offenses,10,,,Simple Assault,1,
Centennial,97233,,,1/23/20,632,Assault Offenses,10,,,Aggravated Assault,1,
Glenfair,97230,,,1/18/20,640,Assault Offenses,10,,,Simple Assault,1,
Centennial,97233,,,1/21/20,2100,Assault Offenses,10,,,Simple Assault,1,
Kenton,97217,,,1/22/20,649,Assault Offenses,10,,,Simple Assault,1,
Wilkes,97230,,,1/23/20,945,Assault Offenses,10,,,Simple Assault,1,
Mill Park,97216,,,1/23/20,1500,Assault Offenses,10,,,Simple Assault,1,
Mt Scott-Arleta,97206,,,1/23/20,2007,Assault Offenses,10,,,Aggravated Assault,1,
Powellhurst-Gilbert,97236,,,1/23/20,2202,Assault Offenses,10,,,Simple Assault,1,
Powellhurst-Gilbert,97236,,,1/23/20,2250,Assault Offenses,10,,,Simple Assault,1,
Brooklyn,97202,,,1/23/20,2335,Assault Offenses,10,,,Aggravated Assault,1,
Overlook,97227,,,1/19/20,1913,Kidnapping/Abduction,18,,,Kidnapping/Abduction,1,
Piedmont,97217,,,1/19/20,0,Sex Offenses,15,,,Rape,1,
Creston-Kenilworth,97202,,,1/24/20,414,Assault Offenses,10,,,Simple Assault,1,
Northwest,97210,,,1/21/20,538,Sex Offenses,15,,,Sexual Assault With An Object,1,
Lents,97266,,,1/24/20,1448,Assault Offenses,10,,,Simple Assault,1,
Buckman West,97214,,,1/15/20,2300,Sex Offenses,15,,,Fondling,1,
Brentwood-Darlington,97206,,,1/17/20,300,Vandalism,4,,,Vandalism,1,
Montavilla,97213,,,1/17/20,2130,Assault Offenses,10,,,Simple Assault,1,
Downtown,97205,,,1/24/20,2201,Drug/Narcotic Offenses,4,,,Drug/Narcotic Violations,1,
Powellhurst-Gilbert,97236,,,1/24/20,1539,Assault Offenses,10,,,Aggravated Assault,1,
Lents,97266,,,1/24/20,1902,Assault Offenses,10,,,Simple Assault,1,
Lloyd,97232,,,1/18/20,555,Vandalism,4,,,Vandalism,1,
Downtown,97205,,,1/18/20,230,Sex Offenses,15,,,Fondling,1,
Sylvan-Highlands,97221,,,1/25/20,4,Assault Offenses,10,,,Simple Assault,1,
Sylvan-Highlands,97221,,,1/25/20,4,Animal Cruelty Offenses,3,,,Animal Cruelty,1,
Hazelwood,97216,,,1/23/20,1759,Assault Offenses,10,,,Simple Assault,1,
Portsmouth,97203,,,1/25/20,25,Assault Offenses,10,,,Simple Assault,1,
Centennial,97233,,,1/25/20,850,Assault Offenses,10,,,Simple Assault,1,
Centennial,97233,,,1/25/20,850,Larceny Offenses,5,,,All Other Larceny,1,
Creston-Kenilworth,97202,,,1/25/20,505,Assault Offenses,10,,,Simple Assault,1,
Glenfair,97230,,,1/25/20,1103,Robbery,8,,,Robbery,1,
Old Town/Chinatown,97209,,,1/25/20,1318,Assault Offenses,10,,,Simple Assault,1,
Centennial,97233,,,1/25/20,1145,Assault Offenses,10,,,Simple Assault,1,
Hazelwood,97216,,,1/20/20,0,Assault Offenses,10,,,Aggravated Assault,1,
Hazelwood,97216,,,1/20/20,0,Weapon Law Violations,6,,,Weapons Law Violations,1,
Parkrose,97220,,,1/25/20,1832,Assault Offenses,10,,,Simple Assault,1,
Powellhurst-Gilbert,97236,,,1/25/20,530,Assault Offenses,10,,,Simple Assault,1,
Lloyd,97232,,,1/25/20,1958,Assault Offenses,10,,,Simple Assault,1,
Powellhurst-Gilbert,97236,,,1/25/20,2346,Assault Offenses,10,,,Simple Assault,1,
Glenfair,97230,,,1/25/20,2256,Assault Offenses,10,,,Simple Assault,1,
Old Town/Chinatown,97209,,,1/25/20,2333,Assault Offenses,10,,,Simple Assault,1,
Arbor Lodge,97217,,,1/26/20,26,Assault Offenses,10,,,Simple Assault,1,
Centennial,97233,,,1/24/20,2154,Assault Offenses,10,,,Aggravated Assault,1,
Lents,97266,,,1/26/20,242,Assault Offenses,10,,,Simple Assault,1,
