location,zip,Unique Neighborhoods,Unique Zip Code,date,time,offenseCatagory,crimeSeverity,uniqueOffenses,severityIndex,offenseType,count,matchingZips
Sullivan's Gulch,97232,,,6/1/20,422,Vandalism,4,,,Vandalism,1,
Sullivan's Gulch,97232,,,1/1/20,2100,Larceny Offenses,5,,,Theft From Building,1,
Lloyd,97232,,,7/7/20,630,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Kerns,97232,,,9/7/20,850,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Irvington,97212,,,3/16/20,1630,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Irvington,97212,,,9/30/20,1830,Vandalism,4,,,Vandalism,1,
Sabin,97211,,,1/18/20,2000,Larceny Offenses,5,,,Theft of Motor Vehicle Parts or Accessories,1,
Sabin,97211,,,10/31/20,2300,Vandalism,4,,,Vandalism,1,
Sabin,97211,,,11/1/20,200,Vandalism,4,,,Vandalism,1,
Irvington,97212,,,8/9/20,30,Vandalism,4,,,Vandalism,1,
Vernon,97211,,,8/15/20,0,Larceny Offenses,5,,,All Other Larceny,1,
Pearl,97209,,,4/18/20,0,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Pearl,97209,,,8/14/20,654,Assault Offenses,10,,,Simple Assault,1,
Pearl,97209,,,1/13/20,1800,Vandalism,4,,,Vandalism,1,
Pearl,97209,,,6/21/20,2100,Larceny Offenses,5,,,All Other Larceny,1,
Pearl,97209,,,8/8/20,1107,Fraud Offenses,1,,,False Pretenses/Swindle/Confidence Game,1,
Pearl,97209,,,9/6/20,1425,Vandalism,4,,,Vandalism,1,
Pearl,97209,,,9/5/20,0,Vandalism,4,,,Vandalism,1,
Pearl,97209,,,9/5/20,1900,Vandalism,4,,,Vandalism,1,
Northwest,97210,,,2/2/20,2350,Burglary,10,,,Burglary,1,
Northwest,97210,,,3/29/20,0,Larceny Offenses,5,,,Theft From Building,1,
Northwest,97210,,,4/10/20,1414,Larceny Offenses,5,,,Theft From Building,1,
Northwest,97210,,,7/1/20,1200,Fraud Offenses,1,,,Identity Theft,1,
Northwest,97210,,,9/16/20,1700,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Northwest,97210,,,10/5/20,1302,Fraud Offenses,1,,,Identity Theft,1,
Northwest,97210,,,10/5/20,1302,Larceny Offenses,5,,,All Other Larceny,1,
Northwest,97210,,,1/17/20,1300,Larceny Offenses,5,,,All Other Larceny,1,
Northwest,97210,,,2/23/20,1500,Larceny Offenses,5,,,All Other Larceny,1,
Northwest,97210,,,4/23/20,1500,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Northwest,97210,,,4/24/20,1330,Larceny Offenses,5,,,All Other Larceny,1,
Northwest,97210,,,5/7/20,1800,Vandalism,4,,,Vandalism,1,
Northwest,97210,,,4/11/20,1200,Burglary,10,,,Burglary,1,
Northwest,97210,,,5/29/20,830,Burglary,10,,,Burglary,1,
Northwest,97210,,,9/19/20,1555,Larceny Offenses,5,,,All Other Larceny,1,
Northwest,97210,,,9/21/20,510,Larceny Offenses,5,,,All Other Larceny,1,
Northwest,97210,,,10/12/20,1215,Burglary,10,,,Burglary,1,
Northwest,97210,,,11/6/20,1545,Larceny Offenses,5,,,All Other Larceny,1,
Northwest,97210,,,11/11/20,1430,Larceny Offenses,5,,,All Other Larceny,1,
Northwest,97210,,,2/5/20,211,Burglary,10,,,Burglary,1,
Northwest,97210,,,7/6/20,725,Burglary,10,,,Burglary,1,
Forest Park,97229,,,2/2/20,1110,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
